tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
20001,20500,500,400.0,200,10356,1444,200,20027.4,17477.75,123.0,4469.049999999999,6396,0,1.0,0.9989965853658535
20501,21000,500,182.0,91,10447,1353,200,20705.5,17820.699999999997,217.04999999999998,4598.549999999999,15937,0,1.0,0.9990204761904761
21001,21500,500,372.0,186,10633,1167,200,20893.5,18278.6,150.24999999999991,4682.349999999999,12381,0,1.0,0.9990432558139534
21501,22000,500,402.0,201,10834,966,200,21484.0,18841.100000000002,59.099999999999966,4713.3,3221,0,1.0,0.999065
22001,22500,500,206.0,103,10937,863,200,21908.399999999998,19137.6,41.0,4733.45,3844,0,1.0,0.9990857777777777
22501,23000,500,336.0,168,11105,695,200,22380.8,19610.399999999998,50.0,4783.0,4749,0,1.0,0.9991056521739131
23001,23500,500,392.0,196,11301,499,200,23049.25,20042.0,35.04999999999998,4794.599999999999,4240,0,1.0,0.9991246808510639
23501,24000,500,382.0,191,11492,309,199,23605.5,20665.249999999993,37.04999999999998,4803.599999999999,3754,0,1.0,0.9991429166666667
24001,24500,500,354.0,177,11669,132,199,24016.4,21133.0,38.0,4812.749999999999,4102,0,1.0,0.9991604081632652
24501,25000,500,264.0,132,11801,0,199,24746.0,21543.0,42.04999999999998,4855.299999999999,4351,0,0.99997,0.9991766
25001,25500,500,260.0,130,11931,0,69,24942.8,22011.0,30.0,4858.15,1645,0,0.5805400000000001,0.9909680392156863
25501,26000,500,138.0,69,12000,0,0,25321.2,22188.0,0.0,4858.15,3,0,0.07014999999999999,0.9732599999999999
26001,26500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.9548966037735849
26501,27000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.9372133333333333
27001,27500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.9201730909090909
27501,28000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.9037414285714286
28001,28500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8878863157894737
28501,29000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8725779310344828
29001,29500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8577884745762713
29501,30000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8434919999999999
30001,30500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8296642622950818
30501,31000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8162825806451613
31001,31500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.8033257142857143
31501,32000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.79077375
32001,32500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7786080000000001
32501,33000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.766810909090909
33001,33500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7553659701492538
33501,34000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7442576470588236
34001,34500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7334713043478261
34501,35000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7229931428571429
35001,35500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7128101408450704
35501,36000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.7029099999999999
36001,36500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6932810958904109
36501,37000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6839124324324325
37001,37500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6747936
37501,38000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6659147368421052
38001,38500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6572664935064936
38501,39000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.64884
39001,39500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.640626835443038
39501,40000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.632619
40001,40500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6248088888888889
40501,41000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6171892682926828
41001,41500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6097532530120482
41501,42000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.6024942857142858
42001,42500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5954061176470589
42501,43000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5884827906976744
43001,43500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5817186206896551
43501,44000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5751081818181818
44001,44500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5686462921348314
44501,45000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5623279999999999
45001,45500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5561485714285714
45501,46000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5501034782608696
46001,46500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5441883870967742
46501,47000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5383991489361702
47001,47500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5327317894736843
47501,48000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5271825
48001,48500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5217476288659794
48501,49000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5164236734693878
49001,49500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5112072727272727
49501,50000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5060952000000001
50001,50500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.5010843564356435
50501,51000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4961717647058823
51001,51500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.49135456310679615
51501,52000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.48662999999999995
52001,52500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4819954285714286
52501,53000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.47744830188679244
53001,53500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.47298616822429906
53501,54000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.46860666666666667
54001,54500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4643075229357798
54501,55000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.46008654545454547
55001,55500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.45594162162162166
55501,56000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4518707142857143
56001,56500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4478718584070796
56501,57000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4439431578947369
57001,57500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4400827826086956
57501,58000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4362889655172414
58001,58500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.43256
58501,59000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.42889423728813564
59001,59500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.42529008403361346
59501,60000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.42174599999999995
60001,60500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4182604958677686
60501,61000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4148321311475409
61001,61500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4114595121951219
61501,62000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.4081412903225807
62001,62500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.40487616000000004
62501,63000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.40166285714285715
63001,63500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.398500157480315
63501,64000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.395386875
64001,64500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3923218604651163
64501,65000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.38930400000000004
65001,65500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.386332213740458
65501,66000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3834054545454545
66001,66500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.38052270676691735
66501,67000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3776829850746269
67001,67500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.37488533333333335
67501,68000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3721288235294118
68001,68500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.36941255474452556
68501,69000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3667356521739131
69001,69500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.36409726618705035
69501,70000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.36149657142857144
70001,70500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.35893276595744683
70501,71000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3564050704225352
71001,71500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3539127272727272
71501,72000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.35145499999999996
72001,72500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.34903117241379306
72501,73000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.34664054794520544
73001,73500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.34428244897959187
73501,74000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.34195621621621625
74001,74500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3396612080536913
74501,75000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3373968
75001,75500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3351623841059602
75501,76000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3329573684210526
76001,76500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.33078117647058825
76501,77000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3286332467532468
77001,77500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3265130322580645
77501,78000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.32442
78001,78500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3223536305732484
78501,79000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.320313417721519
79001,79500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.31829886792452833
79501,80000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3163095
80001,80500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3143448447204969
80501,81000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.31240444444444443
81001,81500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.31048785276073615
81501,82000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3085946341463414
82001,82500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.30672436363636363
82501,83000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3048766265060241
83001,83500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.30305101796407186
83501,84000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.3012471428571429
84001,84500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.29946461538461544
84501,85000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.29770305882352943
85001,85500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2959621052631579
85501,86000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2942413953488372
86001,86500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2925405780346821
86501,87000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.29085931034482754
87001,87500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2891972571428571
87501,88000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2875540909090909
88001,88500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.28592949152542374
88501,89000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2843231460674157
89001,89500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.282734748603352
89501,90000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.28116399999999997
90001,90500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2796106077348066
90501,91000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2780742857142857
91001,91500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.27655475409836067
91501,92000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2750517391304348
92001,92500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.273564972972973
92501,93000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2720941935483871
93001,93500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.27063914438502673
93501,94000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2691995744680851
